Evaluation of  -> /workspace/project/GitHub/newScripts/IntraEvaluation/SupCon_results/Conformer_SupCon_temp_0.1/last.ckpt
Subject 2 with 1 chars retraining
[30.0, 50.0, 64.0, 74.0, 78.0, 86.0, 90.0, 94.0, 96.0, 94.0, 96.0, 96.0, 96.0, 96.0, 96.0]
[42.0, 60.0, 70.0, 78.0, 80.0, 88.0, 92.0, 90.0, 94.0, 96.0, 96.0, 96.0, 98.0, 100.0, 98.0]
Subject 16 with 10 chars retraining
[28.0, 36.0, 54.0, 66.0, 74.0, 72.0, 86.0, 86.0, 88.0, 88.0, 92.0, 96.0, 98.0, 96.0, 98.0]
[24.0, 56.0, 48.0, 66.0, 68.0, 80.0, 80.0, 88.0, 92.0, 94.0, 94.0, 94.0, 92.0, 94.0, 96.0]
[28.0, 50.0, 52.0, 72.0, 70.0, 74.0, 82.0, 90.0, 90.0, 94.0, 92.0, 94.0, 96.0, 96.0, 96.0]
[20.0, 50.0, 56.0, 72.0, 72.0, 80.0, 84.0, 90.0, 92.0, 92.0, 92.0, 94.0, 92.0, 94.0, 94.0]
[28.0, 54.0, 64.0, 78.0, 80.0, 78.0, 84.0, 90.0, 90.0, 94.0, 96.0, 94.0, 98.0, 96.0, 96.0]
[24.0, 42.0, 58.0, 68.0, 76.0, 82.0, 86.0, 92.0, 92.0, 92.0, 96.0, 98.0, 98.0, 98.0, 98.0]
[18.0, 42.0, 52.0, 68.0, 74.0, 74.0, 84.0, 86.0, 86.0, 94.0, 94.0, 96.0, 98.0, 98.0, 100.0]
[20.0, 48.0, 58.0, 74.0, 80.0, 80.0, 84.0, 90.0, 86.0, 94.0, 94.0, 96.0, 96.0, 98.0, 98.0]
[24.0, 56.0, 58.0, 76.0, 80.0, 80.0, 92.0, 94.0, 94.0, 94.0, 96.0, 96.0, 100.0, 98.0, 98.0]
[28.0, 42.0, 54.0, 70.0, 74.0, 80.0, 82.0, 92.0, 90.0, 98.0, 98.0, 98.0, 100.0, 98.0, 98.0]
[30.0, 58.0, 62.0, 72.0, 80.0, 76.0, 84.0, 90.0, 92.0, 96.0, 96.0, 98.0, 100.0, 98.0, 100.0]
[28.0, 48.0, 56.0, 68.0, 74.0, 76.0, 84.0, 90.0, 88.0, 90.0, 94.0, 94.0, 96.0, 94.0, 96.0]
[28.0, 54.0, 62.0, 70.0, 74.0, 84.0, 88.0, 94.0, 94.0, 98.0, 98.0, 96.0, 98.0, 96.0, 96.0]
[30.0, 62.0, 48.0, 68.0, 72.0, 68.0, 82.0, 92.0, 92.0, 94.0, 94.0, 94.0, 94.0, 96.0, 96.0]
[22.0, 42.0, 64.0, 70.0, 80.0, 80.0, 84.0, 90.0, 90.0, 96.0, 98.0, 98.0, 100.0, 100.0, 100.0]
[28.0, 42.0, 52.0, 64.0, 70.0, 80.0, 78.0, 84.0, 86.0, 90.0, 92.0, 94.0, 98.0, 98.0, 98.0]
[26.0, 50.0, 52.0, 68.0, 74.0, 80.0, 86.0, 90.0, 94.0, 96.0, 98.0, 100.0, 98.0, 98.0, 100.0]
[24.0, 42.0, 50.0, 72.0, 76.0, 74.0, 80.0, 88.0, 90.0, 94.0, 94.0, 96.0, 96.0, 96.0, 96.0]
[22.0, 46.0, 52.0, 66.0, 74.0, 78.0, 84.0, 86.0, 88.0, 92.0, 94.0, 100.0, 98.0, 98.0, 98.0]
[22.0, 44.0, 48.0, 66.0, 72.0, 82.0, 82.0, 86.0, 90.0, 90.0, 88.0, 92.0, 94.0, 94.0, 94.0]
[30.0, 46.0, 58.0, 74.0, 84.0, 86.0, 84.0, 94.0, 92.0, 96.0, 98.0, 98.0, 100.0, 98.0, 98.0]
[24.0, 42.0, 50.0, 60.0, 70.0, 72.0, 84.0, 86.0, 92.0, 94.0, 100.0, 98.0, 98.0, 98.0, 100.0]
[18.0, 44.0, 48.0, 52.0, 68.0, 72.0, 80.0, 86.0, 88.0, 92.0, 94.0, 96.0, 98.0, 98.0, 96.0]
[18.0, 44.0, 52.0, 70.0, 80.0, 84.0, 92.0, 98.0, 96.0, 100.0, 98.0, 100.0, 98.0, 98.0, 98.0]
[22.0, 46.0, 52.0, 66.0, 80.0, 80.0, 86.0, 94.0, 94.0, 94.0, 96.0, 94.0, 94.0, 94.0, 96.0]
[26.0, 50.0, 50.0, 64.0, 76.0, 80.0, 84.0, 92.0, 94.0, 94.0, 96.0, 94.0, 94.0, 96.0, 98.0]
[24.0, 52.0, 50.0, 72.0, 76.0, 76.0, 80.0, 82.0, 86.0, 90.0, 92.0, 96.0, 98.0, 98.0, 96.0]
[28.0, 58.0, 54.0, 74.0, 74.0, 72.0, 78.0, 84.0, 90.0, 92.0, 92.0, 94.0, 96.0, 98.0, 96.0]
[22.0, 44.0, 44.0, 58.0, 74.0, 72.0, 82.0, 92.0, 94.0, 96.0, 98.0, 98.0, 100.0, 98.0, 98.0]
[22.0, 40.0, 40.0, 64.0, 70.0, 82.0, 86.0, 88.0, 88.0, 90.0, 94.0, 96.0, 96.0, 96.0, 96.0]
[26.0, 46.0, 58.0, 76.0, 78.0, 76.0, 84.0, 88.0, 94.0, 98.0, 98.0, 100.0, 100.0, 98.0, 100.0]
[30.0, 52.0, 48.0, 72.0, 76.0, 80.0, 84.0, 96.0, 92.0, 96.0, 96.0, 94.0, 94.0, 94.0, 96.0]
[34.0, 48.0, 52.0, 70.0, 76.0, 78.0, 86.0, 88.0, 86.0, 88.0, 96.0, 98.0, 98.0, 96.0, 96.0]
[20.0, 44.0, 50.0, 66.0, 70.0, 74.0, 84.0, 88.0, 90.0, 94.0, 94.0, 98.0, 98.0, 98.0, 98.0]
[26.0, 54.0, 56.0, 62.0, 64.0, 70.0, 74.0, 88.0, 88.0, 92.0, 92.0, 92.0, 96.0, 94.0, 92.0]
[22.0, 54.0, 52.0, 64.0, 68.0, 80.0, 84.0, 88.0, 92.0, 94.0, 96.0, 98.0, 94.0, 96.0, 98.0]
[22.0, 54.0, 54.0, 78.0, 80.0, 80.0, 96.0, 98.0, 98.0, 98.0, 98.0, 98.0, 100.0, 98.0, 98.0]
[14.0, 42.0, 48.0, 70.0, 72.0, 80.0, 88.0, 94.0, 92.0, 94.0, 96.0, 96.0, 98.0, 98.0, 98.0]
[22.0, 40.0, 36.0, 66.0, 68.0, 72.0, 84.0, 92.0, 94.0, 96.0, 96.0, 96.0, 96.0, 94.0, 96.0]
[20.0, 44.0, 54.0, 68.0, 72.0, 78.0, 82.0, 88.0, 90.0, 94.0, 94.0, 94.0, 94.0, 92.0, 94.0]
[30.0, 38.0, 42.0, 58.0, 72.0, 76.0, 82.0, 88.0, 90.0, 94.0, 94.0, 94.0, 98.0, 96.0, 96.0]
[28.0, 54.0, 54.0, 62.0, 70.0, 76.0, 78.0, 90.0, 90.0, 90.0, 92.0, 96.0, 96.0, 96.0, 94.0]
[24.0, 42.0, 46.0, 66.0, 72.0, 76.0, 88.0, 88.0, 90.0, 90.0, 90.0, 96.0, 98.0, 98.0, 96.0]
[28.0, 52.0, 62.0, 74.0, 74.0, 82.0, 84.0, 92.0, 92.0, 98.0, 96.0, 96.0, 98.0, 96.0, 98.0]
[26.0, 54.0, 62.0, 76.0, 76.0, 82.0, 84.0, 88.0, 88.0, 90.0, 92.0, 94.0, 96.0, 96.0, 94.0]
[26.0, 52.0, 64.0, 74.0, 80.0, 84.0, 82.0, 90.0, 88.0, 94.0, 98.0, 100.0, 98.0, 96.0, 98.0]
[20.0, 44.0, 56.0, 72.0, 80.0, 80.0, 86.0, 94.0, 94.0, 96.0, 96.0, 96.0, 98.0, 98.0, 98.0]
[30.0, 52.0, 42.0, 58.0, 70.0, 74.0, 82.0, 86.0, 88.0, 90.0, 92.0, 94.0, 96.0, 96.0, 96.0]
[18.0, 42.0, 46.0, 68.0, 72.0, 80.0, 84.0, 90.0, 92.0, 94.0, 96.0, 98.0, 98.0, 98.0, 96.0]
[28.0, 50.0, 52.0, 72.0, 76.0, 74.0, 84.0, 86.0, 90.0, 94.0, 96.0, 96.0, 98.0, 98.0, 98.0]
Subject 17 with 10 chars retraining
[26.0, 44.0, 64.0, 76.0, 82.0, 86.0, 92.0, 94.0, 92.0, 90.0, 92.0, 92.0, 96.0, 98.0, 98.0]
[24.0, 42.0, 58.0, 82.0, 84.0, 84.0, 84.0, 88.0, 92.0, 94.0, 94.0, 96.0, 96.0, 94.0, 94.0]
[28.0, 42.0, 64.0, 82.0, 80.0, 88.0, 90.0, 92.0, 92.0, 90.0, 90.0, 90.0, 92.0, 98.0, 98.0]
[20.0, 56.0, 74.0, 86.0, 80.0, 92.0, 92.0, 96.0, 90.0, 96.0, 96.0, 94.0, 96.0, 98.0, 98.0]
[22.0, 36.0, 60.0, 76.0, 84.0, 90.0, 90.0, 92.0, 96.0, 98.0, 96.0, 98.0, 96.0, 98.0, 98.0]
[18.0, 42.0, 52.0, 70.0, 76.0, 86.0, 82.0, 86.0, 96.0, 92.0, 96.0, 96.0, 98.0, 98.0, 98.0]
[22.0, 44.0, 64.0, 78.0, 82.0, 86.0, 90.0, 88.0, 90.0, 88.0, 90.0, 94.0, 96.0, 96.0, 98.0]
[20.0, 34.0, 62.0, 72.0, 76.0, 82.0, 86.0, 90.0, 88.0, 92.0, 94.0, 96.0, 94.0, 96.0, 96.0]
[14.0, 44.0, 62.0, 76.0, 80.0, 90.0, 90.0, 92.0, 94.0, 94.0, 96.0, 94.0, 96.0, 96.0, 96.0]
[28.0, 40.0, 54.0, 72.0, 76.0, 86.0, 84.0, 90.0, 92.0, 92.0, 94.0, 92.0, 94.0, 94.0, 98.0]
[20.0, 48.0, 52.0, 64.0, 70.0, 78.0, 82.0, 84.0, 86.0, 84.0, 86.0, 90.0, 92.0, 94.0, 94.0]
[20.0, 38.0, 58.0, 74.0, 74.0, 86.0, 88.0, 90.0, 90.0, 90.0, 92.0, 94.0, 96.0, 98.0, 98.0]
[28.0, 38.0, 52.0, 80.0, 84.0, 92.0, 90.0, 90.0, 92.0, 90.0, 96.0, 94.0, 96.0, 98.0, 98.0]
[26.0, 42.0, 64.0, 74.0, 74.0, 84.0, 94.0, 94.0, 94.0, 94.0, 94.0, 90.0, 94.0, 96.0, 96.0]
[30.0, 42.0, 62.0, 74.0, 76.0, 78.0, 84.0, 86.0, 88.0, 86.0, 90.0, 90.0, 92.0, 96.0, 96.0]
[24.0, 46.0, 56.0, 66.0, 72.0, 86.0, 86.0, 82.0, 90.0, 90.0, 94.0, 96.0, 94.0, 96.0, 96.0]
[20.0, 38.0, 58.0, 72.0, 76.0, 84.0, 82.0, 86.0, 88.0, 90.0, 86.0, 90.0, 90.0, 92.0, 92.0]
[14.0, 40.0, 60.0, 86.0, 78.0, 86.0, 84.0, 96.0, 94.0, 94.0, 92.0, 94.0, 96.0, 98.0, 96.0]
[22.0, 46.0, 60.0, 82.0, 82.0, 88.0, 94.0, 98.0, 96.0, 94.0, 96.0, 98.0, 96.0, 100.0, 100.0]
[20.0, 42.0, 44.0, 72.0, 72.0, 82.0, 88.0, 86.0, 92.0, 92.0, 94.0, 92.0, 94.0, 96.0, 96.0]
[30.0, 44.0, 62.0, 72.0, 78.0, 86.0, 86.0, 88.0, 90.0, 92.0, 88.0, 90.0, 90.0, 92.0, 92.0]
[34.0, 42.0, 62.0, 74.0, 86.0, 82.0, 86.0, 90.0, 94.0, 92.0, 92.0, 96.0, 92.0, 96.0, 98.0]
[26.0, 40.0, 64.0, 76.0, 76.0, 80.0, 82.0, 84.0, 88.0, 90.0, 92.0, 94.0, 98.0, 98.0, 98.0]
[20.0, 40.0, 70.0, 80.0, 84.0, 84.0, 86.0, 90.0, 90.0, 92.0, 94.0, 96.0, 96.0, 96.0, 98.0]
[22.0, 46.0, 58.0, 70.0, 74.0, 84.0, 86.0, 86.0, 90.0, 90.0, 92.0, 92.0, 92.0, 96.0, 98.0]
[28.0, 40.0, 60.0, 70.0, 76.0, 84.0, 86.0, 86.0, 88.0, 94.0, 94.0, 94.0, 94.0, 98.0, 98.0]
[22.0, 36.0, 58.0, 68.0, 80.0, 84.0, 90.0, 92.0, 90.0, 90.0, 92.0, 92.0, 94.0, 96.0, 98.0]
[24.0, 42.0, 70.0, 74.0, 76.0, 88.0, 90.0, 88.0, 94.0, 98.0, 96.0, 98.0, 96.0, 98.0, 98.0]
[24.0, 32.0, 58.0, 64.0, 72.0, 82.0, 90.0, 86.0, 86.0, 86.0, 88.0, 92.0, 92.0, 92.0, 98.0]
[22.0, 44.0, 68.0, 68.0, 74.0, 80.0, 88.0, 86.0, 84.0, 88.0, 88.0, 92.0, 94.0, 92.0, 94.0]
[30.0, 36.0, 54.0, 76.0, 76.0, 86.0, 88.0, 86.0, 94.0, 92.0, 94.0, 94.0, 94.0, 98.0, 98.0]
[22.0, 20.0, 52.0, 62.0, 68.0, 82.0, 86.0, 86.0, 90.0, 90.0, 88.0, 90.0, 90.0, 94.0, 96.0]
[12.0, 40.0, 62.0, 74.0, 76.0, 88.0, 90.0, 90.0, 94.0, 94.0, 92.0, 94.0, 92.0, 98.0, 98.0]
[20.0, 42.0, 62.0, 70.0, 74.0, 82.0, 88.0, 88.0, 92.0, 90.0, 92.0, 90.0, 92.0, 96.0, 98.0]
[18.0, 40.0, 58.0, 76.0, 80.0, 86.0, 86.0, 84.0, 88.0, 88.0, 94.0, 88.0, 92.0, 96.0, 96.0]
[16.0, 36.0, 58.0, 82.0, 78.0, 88.0, 84.0, 92.0, 90.0, 90.0, 94.0, 94.0, 94.0, 98.0, 98.0]
[30.0, 32.0, 64.0, 68.0, 82.0, 84.0, 90.0, 92.0, 98.0, 96.0, 96.0, 96.0, 96.0, 96.0, 98.0]
[18.0, 44.0, 68.0, 74.0, 82.0, 84.0, 86.0, 92.0, 90.0, 88.0, 92.0, 94.0, 92.0, 96.0, 96.0]
[22.0, 44.0, 60.0, 78.0, 74.0, 84.0, 88.0, 88.0, 90.0, 94.0, 90.0, 94.0, 92.0, 96.0, 96.0]
[24.0, 34.0, 58.0, 70.0, 78.0, 80.0, 84.0, 88.0, 88.0, 94.0, 94.0, 96.0, 94.0, 98.0, 98.0]
[28.0, 46.0, 64.0, 66.0, 74.0, 78.0, 88.0, 82.0, 88.0, 84.0, 92.0, 92.0, 94.0, 96.0, 98.0]
[26.0, 38.0, 60.0, 78.0, 72.0, 84.0, 84.0, 82.0, 84.0, 86.0, 88.0, 90.0, 88.0, 94.0, 92.0]
[16.0, 38.0, 66.0, 66.0, 70.0, 74.0, 80.0, 84.0, 86.0, 84.0, 84.0, 84.0, 88.0, 94.0, 92.0]
[18.0, 44.0, 60.0, 80.0, 84.0, 86.0, 82.0, 82.0, 86.0, 92.0, 92.0, 92.0, 92.0, 92.0, 92.0]
[18.0, 42.0, 56.0, 72.0, 72.0, 80.0, 86.0, 86.0, 92.0, 90.0, 90.0, 92.0, 92.0, 96.0, 94.0]
[14.0, 40.0, 62.0, 78.0, 76.0, 86.0, 88.0, 88.0, 90.0, 88.0, 88.0, 92.0, 90.0, 96.0, 94.0]
[18.0, 44.0, 54.0, 72.0, 74.0, 82.0, 86.0, 84.0, 88.0, 92.0, 92.0, 92.0, 92.0, 94.0, 96.0]
[22.0, 40.0, 64.0, 66.0, 80.0, 88.0, 88.0, 92.0, 92.0, 96.0, 94.0, 94.0, 98.0, 98.0, 98.0]
[24.0, 42.0, 64.0, 76.0, 78.0, 90.0, 86.0, 88.0, 94.0, 92.0, 94.0, 94.0, 94.0, 98.0, 98.0]
[18.0, 38.0, 54.0, 62.0, 74.0, 84.0, 84.0, 88.0, 88.0, 92.0, 92.0, 92.0, 94.0, 96.0, 96.0]
Subject 20 with 10 chars retraining
[18.0, 34.0, 38.0, 50.0, 54.0, 66.0, 70.0, 74.0, 76.0, 78.0, 82.0, 82.0, 84.0, 82.0, 88.0]
[24.0, 34.0, 46.0, 54.0, 58.0, 62.0, 68.0, 72.0, 82.0, 78.0, 84.0, 86.0, 88.0, 84.0, 90.0]
[14.0, 30.0, 48.0, 64.0, 68.0, 70.0, 76.0, 78.0, 80.0, 82.0, 86.0, 84.0, 88.0, 90.0, 88.0]
[18.0, 32.0, 48.0, 50.0, 58.0, 62.0, 70.0, 74.0, 78.0, 76.0, 86.0, 84.0, 84.0, 88.0, 90.0]
[24.0, 30.0, 48.0, 48.0, 56.0, 60.0, 78.0, 78.0, 78.0, 80.0, 84.0, 84.0, 86.0, 88.0, 90.0]
[16.0, 38.0, 46.0, 40.0, 60.0, 70.0, 76.0, 82.0, 82.0, 88.0, 84.0, 88.0, 92.0, 94.0, 98.0]
[16.0, 26.0, 42.0, 46.0, 62.0, 64.0, 72.0, 74.0, 76.0, 82.0, 86.0, 84.0, 84.0, 90.0, 94.0]
[14.0, 28.0, 38.0, 42.0, 60.0, 64.0, 74.0, 74.0, 78.0, 76.0, 74.0, 80.0, 80.0, 84.0, 82.0]
[16.0, 36.0, 44.0, 56.0, 66.0, 70.0, 74.0, 76.0, 80.0, 80.0, 88.0, 82.0, 84.0, 88.0, 90.0]
[14.0, 34.0, 44.0, 56.0, 70.0, 66.0, 74.0, 82.0, 80.0, 84.0, 82.0, 88.0, 86.0, 88.0, 88.0]
[16.0, 24.0, 42.0, 48.0, 52.0, 62.0, 60.0, 72.0, 76.0, 84.0, 82.0, 82.0, 86.0, 88.0, 94.0]
[16.0, 26.0, 42.0, 52.0, 66.0, 68.0, 72.0, 70.0, 76.0, 70.0, 78.0, 78.0, 90.0, 84.0, 90.0]
[22.0, 26.0, 46.0, 58.0, 68.0, 70.0, 70.0, 74.0, 74.0, 84.0, 86.0, 84.0, 88.0, 92.0, 94.0]
[8.0, 40.0, 44.0, 54.0, 66.0, 66.0, 68.0, 76.0, 82.0, 82.0, 90.0, 86.0, 84.0, 88.0, 90.0]
[10.0, 30.0, 46.0, 48.0, 50.0, 54.0, 62.0, 64.0, 70.0, 72.0, 78.0, 80.0, 78.0, 76.0, 82.0]
[12.0, 34.0, 40.0, 50.0, 54.0, 56.0, 70.0, 72.0, 80.0, 86.0, 84.0, 88.0, 88.0, 88.0, 96.0]
[8.0, 32.0, 46.0, 54.0, 64.0, 68.0, 78.0, 72.0, 72.0, 84.0, 84.0, 82.0, 80.0, 82.0, 86.0]
[16.0, 36.0, 48.0, 46.0, 60.0, 60.0, 64.0, 72.0, 70.0, 78.0, 84.0, 86.0, 86.0, 88.0, 90.0]
[12.0, 40.0, 46.0, 48.0, 54.0, 62.0, 66.0, 68.0, 74.0, 80.0, 76.0, 78.0, 80.0, 86.0, 86.0]
[16.0, 34.0, 42.0, 52.0, 70.0, 66.0, 76.0, 76.0, 84.0, 82.0, 84.0, 82.0, 80.0, 84.0, 88.0]
[10.0, 20.0, 34.0, 40.0, 58.0, 50.0, 64.0, 70.0, 70.0, 80.0, 80.0, 76.0, 76.0, 80.0, 84.0]
[22.0, 30.0, 50.0, 58.0, 72.0, 66.0, 70.0, 76.0, 74.0, 78.0, 82.0, 86.0, 88.0, 90.0, 90.0]
[14.0, 34.0, 46.0, 58.0, 62.0, 58.0, 62.0, 68.0, 74.0, 74.0, 86.0, 84.0, 78.0, 82.0, 86.0]
[20.0, 32.0, 44.0, 56.0, 70.0, 68.0, 76.0, 76.0, 78.0, 84.0, 90.0, 92.0, 94.0, 92.0, 92.0]
[22.0, 40.0, 44.0, 50.0, 64.0, 62.0, 68.0, 72.0, 74.0, 82.0, 84.0, 88.0, 88.0, 92.0, 94.0]
[18.0, 38.0, 46.0, 50.0, 70.0, 72.0, 70.0, 80.0, 80.0, 84.0, 82.0, 86.0, 90.0, 88.0, 92.0]
[18.0, 28.0, 36.0, 38.0, 58.0, 60.0, 66.0, 68.0, 74.0, 80.0, 82.0, 86.0, 88.0, 82.0, 86.0]
[18.0, 36.0, 44.0, 54.0, 62.0, 68.0, 70.0, 72.0, 78.0, 80.0, 82.0, 80.0, 82.0, 82.0, 88.0]
[14.0, 20.0, 46.0, 50.0, 60.0, 58.0, 68.0, 72.0, 76.0, 78.0, 80.0, 80.0, 84.0, 86.0, 92.0]
[16.0, 44.0, 52.0, 52.0, 74.0, 74.0, 78.0, 78.0, 84.0, 84.0, 88.0, 88.0, 86.0, 84.0, 92.0]
[22.0, 28.0, 46.0, 60.0, 76.0, 68.0, 70.0, 76.0, 70.0, 82.0, 86.0, 88.0, 88.0, 90.0, 92.0]
[14.0, 32.0, 48.0, 58.0, 70.0, 72.0, 72.0, 72.0, 72.0, 78.0, 84.0, 82.0, 86.0, 84.0, 90.0]
[26.0, 32.0, 48.0, 50.0, 62.0, 70.0, 70.0, 72.0, 72.0, 78.0, 86.0, 84.0, 88.0, 86.0, 90.0]
[20.0, 40.0, 48.0, 52.0, 66.0, 60.0, 70.0, 78.0, 80.0, 78.0, 84.0, 82.0, 84.0, 80.0, 82.0]
[12.0, 28.0, 38.0, 56.0, 58.0, 70.0, 70.0, 70.0, 78.0, 84.0, 86.0, 92.0, 90.0, 92.0, 94.0]
[16.0, 32.0, 46.0, 50.0, 60.0, 60.0, 64.0, 68.0, 76.0, 82.0, 84.0, 86.0, 92.0, 92.0, 90.0]
[14.0, 26.0, 38.0, 38.0, 48.0, 58.0, 68.0, 70.0, 72.0, 74.0, 78.0, 82.0, 82.0, 88.0, 90.0]
[22.0, 36.0, 48.0, 50.0, 58.0, 64.0, 72.0, 76.0, 78.0, 74.0, 86.0, 90.0, 88.0, 86.0, 90.0]
[14.0, 42.0, 48.0, 52.0, 68.0, 64.0, 68.0, 76.0, 78.0, 82.0, 86.0, 90.0, 90.0, 92.0, 94.0]
[16.0, 36.0, 48.0, 48.0, 64.0, 62.0, 74.0, 70.0, 76.0, 84.0, 84.0, 80.0, 90.0, 90.0, 92.0]
[12.0, 34.0, 34.0, 48.0, 56.0, 60.0, 70.0, 72.0, 78.0, 80.0, 90.0, 90.0, 88.0, 88.0, 92.0]
[18.0, 28.0, 46.0, 50.0, 66.0, 62.0, 68.0, 70.0, 74.0, 72.0, 82.0, 84.0, 88.0, 88.0, 92.0]
[16.0, 32.0, 34.0, 48.0, 56.0, 66.0, 74.0, 78.0, 76.0, 74.0, 80.0, 84.0, 84.0, 84.0, 84.0]
[16.0, 30.0, 44.0, 50.0, 66.0, 66.0, 74.0, 78.0, 74.0, 78.0, 78.0, 84.0, 86.0, 86.0, 92.0]
[20.0, 38.0, 48.0, 58.0, 60.0, 70.0, 82.0, 82.0, 80.0, 88.0, 84.0, 84.0, 88.0, 88.0, 92.0]
[14.0, 36.0, 44.0, 52.0, 54.0, 60.0, 68.0, 80.0, 76.0, 78.0, 80.0, 86.0, 88.0, 90.0, 90.0]
[14.0, 38.0, 50.0, 56.0, 54.0, 62.0, 66.0, 74.0, 78.0, 78.0, 78.0, 80.0, 78.0, 82.0, 92.0]
[12.0, 36.0, 46.0, 50.0, 58.0, 66.0, 66.0, 76.0, 76.0, 76.0, 82.0, 82.0, 86.0, 88.0, 92.0]
[12.0, 24.0, 46.0, 52.0, 48.0, 64.0, 72.0, 76.0, 74.0, 82.0, 86.0, 88.0, 88.0, 90.0, 92.0]
[18.0, 32.0, 40.0, 42.0, 64.0, 64.0, 68.0, 80.0, 80.0, 82.0, 84.0, 88.0, 90.0, 88.0, 88.0]
Subject 33 with 10 chars retraining
[16.0, 18.0, 20.0, 24.0, 36.0, 36.0, 40.0, 38.0, 36.0, 40.0, 42.0, 38.0, 48.0, 48.0, 48.0]
[10.0, 16.0, 18.0, 14.0, 26.0, 32.0, 40.0, 46.0, 38.0, 46.0, 46.0, 44.0, 46.0, 50.0, 46.0]
[12.0, 20.0, 16.0, 20.0, 24.0, 34.0, 32.0, 36.0, 34.0, 32.0, 34.0, 36.0, 40.0, 40.0, 36.0]
[16.0, 24.0, 28.0, 30.0, 36.0, 40.0, 42.0, 44.0, 44.0, 42.0, 44.0, 46.0, 48.0, 52.0, 48.0]
[12.0, 20.0, 18.0, 22.0, 36.0, 38.0, 40.0, 42.0, 36.0, 40.0, 46.0, 44.0, 44.0, 52.0, 56.0]
[8.0, 16.0, 16.0, 24.0, 24.0, 26.0, 30.0, 38.0, 38.0, 34.0, 36.0, 38.0, 42.0, 44.0, 48.0]
[10.0, 24.0, 20.0, 26.0, 30.0, 36.0, 30.0, 34.0, 36.0, 40.0, 36.0, 34.0, 36.0, 40.0, 40.0]
[4.0, 10.0, 10.0, 22.0, 28.0, 20.0, 22.0, 28.0, 24.0, 30.0, 30.0, 38.0, 32.0, 36.0, 42.0]
[4.0, 12.0, 14.0, 20.0, 24.0, 24.0, 34.0, 38.0, 30.0, 36.0, 34.0, 38.0, 38.0, 40.0, 36.0]
[10.0, 12.0, 14.0, 22.0, 18.0, 24.0, 30.0, 32.0, 38.0, 38.0, 42.0, 42.0, 36.0, 42.0, 52.0]
[12.0, 20.0, 14.0, 28.0, 26.0, 38.0, 32.0, 36.0, 42.0, 34.0, 36.0, 36.0, 40.0, 44.0, 48.0]
[6.0, 8.0, 8.0, 18.0, 20.0, 28.0, 36.0, 38.0, 36.0, 38.0, 38.0, 38.0, 34.0, 36.0, 36.0]
[14.0, 26.0, 14.0, 22.0, 34.0, 26.0, 34.0, 34.0, 34.0, 38.0, 38.0, 36.0, 42.0, 46.0, 44.0]
[12.0, 12.0, 18.0, 20.0, 20.0, 24.0, 34.0, 32.0, 32.0, 34.0, 38.0, 36.0, 40.0, 42.0, 54.0]
[8.0, 18.0, 20.0, 22.0, 28.0, 36.0, 36.0, 32.0, 34.0, 38.0, 38.0, 36.0, 42.0, 44.0, 44.0]
[12.0, 20.0, 18.0, 24.0, 24.0, 32.0, 30.0, 36.0, 46.0, 48.0, 36.0, 34.0, 30.0, 40.0, 36.0]
[14.0, 10.0, 14.0, 16.0, 28.0, 26.0, 34.0, 26.0, 32.0, 36.0, 36.0, 34.0, 42.0, 46.0, 52.0]
[16.0, 10.0, 10.0, 18.0, 28.0, 24.0, 28.0, 26.0, 28.0, 18.0, 22.0, 34.0, 36.0, 36.0, 40.0]
[14.0, 10.0, 12.0, 22.0, 26.0, 36.0, 38.0, 38.0, 36.0, 40.0, 34.0, 32.0, 38.0, 42.0, 42.0]
[12.0, 24.0, 18.0, 24.0, 32.0, 32.0, 34.0, 42.0, 40.0, 48.0, 52.0, 48.0, 50.0, 58.0, 56.0]
[22.0, 24.0, 18.0, 22.0, 34.0, 36.0, 44.0, 42.0, 40.0, 42.0, 50.0, 48.0, 46.0, 44.0, 42.0]
[6.0, 10.0, 18.0, 24.0, 32.0, 26.0, 34.0, 32.0, 34.0, 32.0, 48.0, 36.0, 36.0, 40.0, 46.0]
[12.0, 14.0, 12.0, 12.0, 16.0, 20.0, 30.0, 28.0, 30.0, 34.0, 38.0, 34.0, 30.0, 38.0, 38.0]
[6.0, 18.0, 16.0, 34.0, 28.0, 38.0, 38.0, 36.0, 38.0, 40.0, 38.0, 36.0, 42.0, 48.0, 44.0]
[4.0, 18.0, 12.0, 22.0, 26.0, 26.0, 32.0, 40.0, 38.0, 42.0, 42.0, 42.0, 42.0, 48.0, 44.0]
[8.0, 8.0, 12.0, 20.0, 24.0, 22.0, 32.0, 30.0, 32.0, 38.0, 42.0, 36.0, 46.0, 46.0, 56.0]
[10.0, 14.0, 26.0, 36.0, 34.0, 42.0, 36.0, 36.0, 40.0, 44.0, 42.0, 48.0, 48.0, 42.0, 48.0]
[6.0, 12.0, 6.0, 12.0, 20.0, 26.0, 30.0, 32.0, 34.0, 32.0, 34.0, 34.0, 36.0, 36.0, 42.0]
[14.0, 12.0, 24.0, 18.0, 26.0, 34.0, 36.0, 32.0, 32.0, 34.0, 38.0, 38.0, 46.0, 42.0, 44.0]
[6.0, 20.0, 12.0, 16.0, 26.0, 36.0, 30.0, 26.0, 34.0, 28.0, 32.0, 34.0, 30.0, 42.0, 34.0]
